time,q_[0],q_[1],q_[2],q_[3],q_[4],q_[5],q_[6],q_[7],desired_q_[0],desired_q_[1],desired_q_[2],desired_q_[3],desired_q_[4],desired_q_[5],desired_q_[6],desired_q_[7],desired_torque_[0],desired_torque_[1],desired_torque_[2],desired_torque_[3],desired_torque_[4],desired_torque_[5],desired_torque_[6],desired_torque_[7]
0.0000,0.0000,0.4363,-0.8727,0.4363,0.0000,0.4363,-0.8727,0.4363,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,0.0000,0.9931,-0.7145,0.0100,0.0000,0.9931,-0.7145,0.0100
0.0067,-0.0002,0.4391,-0.8845,0.4450,0.0002,0.4391,-0.8845,0.4450,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,1.6326,-1.2828,2.5000,0.0091,-1.3463,-0.7033,2.5000,0.0091
0.0133,0.0025,0.4388,-0.9041,0.5646,-0.0011,0.4402,-0.9043,0.5672,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-0.9336,2.5000,2.5000,-0.0031,-0.0151,2.5000,2.5000,-0.0048
0.0200,0.0080,0.4416,-0.9152,0.5114,-0.0086,0.4475,-0.9160,0.5593,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-0.9336,2.5000,2.5000,0.0100,-0.0151,2.5000,2.5000,0.0100
0.0267,0.0022,0.4889,-0.9240,0.5364,-0.0176,0.4994,-0.9251,0.4754,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,-2.5000,2.5000,0.0061,0.9591,-2.5000,2.5000,0.0100
0.0333,0.0019,0.5555,-0.9294,0.3655,-0.0149,0.5695,-0.9303,0.4094,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,-2.5000,2.5000,0.0100,0.9591,-2.5000,2.5000,0.0100
0.0400,0.0250,0.5837,-0.9314,0.3719,0.0020,0.5992,-0.9302,0.4088,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,0.0100,-2.5000,-2.5000,2.5000,0.0100
0.0467,0.0309,0.5825,-0.9299,0.3978,0.0049,0.6012,-0.9310,0.4144,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,1.5238,-2.5000,2.5000,0.0100,-2.1475,-2.5000,2.5000,0.0100
0.0533,0.0156,0.5560,-0.9225,0.4233,-0.0112,0.5828,-0.9345,0.4279,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,2.5000,1.9286,0.0092,2.5000,2.5000,2.5000,0.0096
0.0600,0.0091,0.5274,-0.9223,0.4431,-0.0174,0.5585,-0.9386,0.4373,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,2.5000,1.9286,0.0093,2.5000,2.5000,2.5000,0.0100
